frame_no,box,emotion
0,"{'top': 527, 'left': 770, 'width': 347, 'height': 347}",happiness
1,"{'top': 523, 'left': 768, 'width': 337, 'height': 337}",happiness
2,"{'top': 519, 'left': 762, 'width': 339, 'height': 339}",happiness
3,"{'top': 516, 'left': 763, 'width': 340, 'height': 340}",happiness
4,"{'top': 525, 'left': 771, 'width': 327, 'height': 327}",happiness
5,"{'top': 529, 'left': 758, 'width': 353, 'height': 353}",sadness
6,"{'top': 527, 'left': 755, 'width': 368, 'height': 368}",sadness
7,"{'top': 525, 'left': 759, 'width': 368, 'height': 368}",sadness
8,"{'top': 530, 'left': 759, 'width': 365, 'height': 365}",sadness
9,"{'top': 519, 'left': 764, 'width': 361, 'height': 361}",surprise
10,"{'top': 489, 'left': 770, 'width': 349, 'height': 349}",surprise
11,"{'top': 463, 'left': 788, 'width': 339, 'height': 339}",surprise
12,"{'top': 477, 'left': 815, 'width': 308, 'height': 308}",surprise
13,"{'top': 497, 'left': 815, 'width': 303, 'height': 303}",surprise
14,"{'top': 501, 'left': 780, 'width': 335, 'height': 335}",neutral
15,"{'top': 495, 'left': 766, 'width': 348, 'height': 348}",happiness
16,"{'top': 487, 'left': 771, 'width': 355, 'height': 355}",happiness
17,"{'top': 489, 'left': 778, 'width': 353, 'height': 353}",happiness
18,"{'top': 491, 'left': 771, 'width': 374, 'height': 374}",happiness
19,"{'top': 492, 'left': 782, 'width': 355, 'height': 355}",happiness
20,"{'top': 500, 'left': 783, 'width': 345, 'height': 345}",happiness
21,"{'top': 504, 'left': 776, 'width': 369, 'height': 369}",neutral
22,"{'top': 509, 'left': 796, 'width': 367, 'height': 367}",neutral
23,"{'top': 504, 'left': 828, 'width': 361, 'height': 361}",neutral
24,"{'top': 505, 'left': 843, 'width': 366, 'height': 366}",neutral
25,"{'top': 495, 'left': 817, 'width': 369, 'height': 369}",neutral
26,"{'top': 485, 'left': 794, 'width': 365, 'height': 365}",neutral
27,"{'top': 484, 'left': 791, 'width': 363, 'height': 363}",neutral
28,"{'top': 486, 'left': 795, 'width': 360, 'height': 360}",neutral
29,"{'top': 485, 'left': 800, 'width': 362, 'height': 362}",neutral
30,"{'top': 491, 'left': 801, 'width': 359, 'height': 359}",neutral
31,"{'top': 492, 'left': 798, 'width': 365, 'height': 365}",neutral
